house_ID,Location,HouseType,Condition,Size_sqft,Bedrooms,Bathrooms,Floors,Parking,YearBuilt,DistanceToCityCenter_km,Price 
1,Shoreline,Apartment,New,1340,3,3,2,Yes,1955,6.7,313000
2,Seattle,Bungalow,Old,3650,5,4,2,No,1921,2.3,2384000
3,Kent,Townhouse,Renovated,1930,3,1,1,No,1966,5.3,342000
4,Bellevue,Apartment,Renovated,2000,3,1,1,No,1963,6.3,420000
5,Redmond,Villa,Renovated,1940,4,2,1,Yes,1976,4.5,550000
6,Seattle,Townhouse,New,880,2,3,1,Yes,1938,1,490000
7,Redmond,Villa,Renovated,1350,2,3,1,Yes,1976,1.5,335000
8,Maple Valley,Villa,Old,2710,4,4,2,Yes,1989,6,482000
9,North Bend,Townhouse,Old,2430,3,3,1,Yes,1985,7,452500
10,Seattle,Townhouse,New,1520,4,5,3,Yes,1945,8,640000
11,Lake Forest Park,Apartment,Old,1710,3,3,1,Yes,1948,4,463000
12,Seattle,Townhouse,Old,2920,4,3,2,Yes,1909,5.5,1400000
13,Sammamish,Townhouse,New,2330,3,4,1,Yes,1980,6.4,588500
14,Seattle,Townhouse,Old,1090,3,3,1,Yes,1955,8.4,365000
15,Seattle,Apartment,Renovated,2910,5,3,2,Yes,1939,5,1200000
16,Kent,Bungalow,Renovated,1200,3,3,1,Yes,1965,6.1,242500
17,Bellevue,Townhouse,Renovated,1570,3,3,1,Yes,1956,4.5,419000
18,Auburn,Villa,New,3110,4,4,2,Yes,1997,2.5,367500
19,Des Moines,Bungalow,Renovated,1370,3,1,1,Yes,1987,6.5,257950
20,North Bend,Townhouse,Old,1180,3,1,1,Yes,1983,3.5,275000
21,Seattle,Apartment,Old,2240,3,2,2,No,1923,6.5,750000
22,Bellevue,Bungalow,New,1450,4,3,1,No,1954,9.7,435000
23,Seattle,Townhouse,Old,1750,3,3,1,No,2005,8.5,626000
24,Bothell,Apartment,Old,2730,4,4,2,Yes,1991,6.5,612500
25,Seattle,Villa,New,1600,4,3,1,Yes,1959,8.4,495000
26,Federal Way,Townhouse,Old,2090,3,5,1,No,1987,9.4,285000
27,Seattle,Villa,Renovated,2360,3,3,1,Yes,1948,6.4,615000
28,Kirkland,Villa,Renovated,2200,4,3,2,No,1920,5.5,698000
29,Issaquah,Townhouse,Renovated,2820,5,4,2,Yes,1979,2.5,675000
30,Seattle,Townhouse,New,2600,3,3,1,Yes,1951,3.6,790000
31,Kirkland,Apartment,Renovated,1560,4,3,1,Yes,1967,4.9,382500
32,Woodinville,Townhouse,Old,2860,4,3,2,Yes,2004,5.5,499950
33,Seattle,Townhouse,Old,1820,4,3,2,Yes,1945,2.5,650000
34,Shoreline,Townhouse,New,2820,4,4,2,No,2014,1,625000
35,Auburn,Apartment,Old,3630,4,3,2,Yes,1979,5,400000
36,Federal Way,Bungalow,Old,3240,3,5,2,Yes,1995,6,604000
37,Seattle,Townhouse,New,800,2,3,1,No,1944,8,440000
38,Maple Valley,Villa,Old,1850,3,3,1,Yes,1992,7,287200
39,Normandy Park,Bungalow,Renovated,1960,3,4,1,Yes,1957,9.5,403000
40,Seattle,Townhouse,Renovated,2390,3,3,1,No,1955,6.8,750000
41,Fall City,Apartment,Renovated,1580,3,3,1,No,1978,9.4,335000
42,Renton,Bungalow,New,1480,4,3,1,No,1974,5.3,260000
43,Shoreline,Townhouse,Renovated,850,2,3,1,Yes,1950,6.3,308500
44,Seattle,Apartment,Old,1770,3,4,2,Yes,1990,4.5,439950
45,Seattle,Villa,Old,1210,2,1,1,Yes,1949,1,235000
46,Woodinville,Townhouse,New,1160,3,1,1,Yes,1968,1.5,315000
47,Issaquah,Villa,Old,1970,3,2,2,Yes,1977,6,437500
48,Renton,Villa,Old,1930,3,3,2,Yes,1996,7,407500
49,Seattle,Townhouse,New,1270,3,4,3,Yes,2001,8,445700
50,Redmond,Townhouse,Old,3310,4,3,2,Yes,2001,4,838000
51,Issaquah,Apartment,Renovated,2710,4,5,2,Yes,2000,5.5,630000
52,Sammamish,Townhouse,Renovated,2910,3,3,1,Yes,1979,6.4,550000
53,Seattle,Townhouse,Renovated,2710,3,3,1,Yes,1929,8.4,805000
54,Carnation,Townhouse,New,1800,3,4,1,Yes,1968,5,284000
55,Bothell,Apartment,Renovated,2210,5,3,1,Yes,1976,6.1,470000
56,Bellevue,Bungalow,Old,1920,4,3,1,Yes,1954,4.5,430000
57,Auburn,Townhouse,Old,2190,4,3,1,Yes,1968,2.5,491500
58,Snoqualmie,Villa,New,3660,5,3,2,Yes,2006,6.5,785000
59,Seattle,Bungalow,Old,1320,3,4,2,No,2008,3.5,385000
60,Seattle,Townhouse,Old,1630,2,4,2,No,2009,6.5,295000
61,Snoqualmie,Apartment,New,3310,4,4,2,No,2012,9.7,555000
62,North Bend,Bungalow,Old,2680,3,4,2,Yes,2013,8.5,459990
63,Renton,Townhouse,Renovated,2730,4,4,1,Yes,2007,6.5,625000
64,Kent,Apartment,Renovated,2540,3,3,2,No,2006,8.4,300000
66,Renton,Villa,Renovated,2920,4,2,2,Yes,2012,9.4,625000
67,Seattle,Townhouse,New,900,2,3,1,No,1944,6.4,553000
68,Issaquah,Villa,Renovated,1650,3,3,1,Yes,1986,5.5,379880
69,Snoqualmie,Villa,Old,1010,3,3,1,Yes,1973,2.5,310000
70,Redmond,Townhouse,Old,2680,2,3,1,Yes,2004,3.6,775000
71,Renton,Townhouse,New,2200,3,4,1,Yes,1988,4.9,365000
72,Auburn,Apartment,Old,2530,4,2,2,Yes,1990,5.5,331950
73,Seattle,Townhouse,Old,2850,3,3,2,No,1980,2.5,783500
74,Seattle,Townhouse,New,2280,4,2,1,Yes,1900,1,628000
75,Sammamish,Townhouse,Old,1900,3,3,2,Yes,1987,5,560000
76,Kirkland,Apartment,Renovated,1330,3,3,1,No,1928,6,900000
77,Seattle,Bungalow,Renovated,1270,2,3,2,Yes,2000,8,531000
78,Seattle,Townhouse,Renovated,2170,4,3,2,Yes,1982,7,831000
79,Sammamish,Villa,New,2730,4,4,2,Yes,1996,9.5,780000
80,Bellevue,Bungalow,Renovated,2120,4,4,1,Yes,1960,6.8,755000
81,Issaquah,Townhouse,Old,2490,3,3,2,Yes,2003,9.4,705380
82,Issaquah,Townhouse,Old,1990,4,3,1,Yes,1973,6.7,627000
83,Sammamish,Townhouse,New,3690,4,3,2,Yes,1998,2.3,865000
84,Seattle,Townhouse,Old,2540,2,5,1,Yes,1942,5.3,580000
85,Issaquah,Townhouse,Old,1800,3,4,1,Yes,1978,6.3,410000
86,Kirkland,Apartment,New,2340,4,4,1,Yes,1979,4.5,485000
87,Shoreline,Bungalow,Old,2110,2,5,1,Yes,1948,1,400000
88,Seattle,Townhouse,Renovated,1140,2,3,1,Yes,1908,1.5,549000
89,Kirkland,Apartment,Renovated,1480,3,2,1,Yes,2005,6,620000
90,Seattle,Villa,Renovated,1410,2,4,2,Yes,2006,7,405000
91,Des Moines,Townhouse,New,1200,2,3,1,Yes,1958,8,232000
92,Kirkland,Villa,Renovated,3180,5,4,2,Yes,1990,4,800866
93,Seattle,Villa,Old,2160,3,3,1,Yes,1949,5.5,650000
94,Seattle,Townhouse,Old,2920,6,4,1,No,1908,6.4,823000
95,Seattle,Townhouse,New,2350,3,2,2,No,1939,8.4,770000
96,Seattle,Apartment,Old,1560,3,3,1,No,1944,5,524000
97,Bellevue,Townhouse,Old,2740,5,3,1,Yes,1960,6.1,541125
98,Seattle,Townhouse,Old,1680,3,2,3,Yes,1909,4.5,670000
99,Federal Way,Townhouse,Renovated,3090,5,3,1,No,1968,2.5,384900
100,Seattle,Apartment,Renovated,1410,3,4,3,Yes,2005,6.5,406100
102,Seattle,Bungalow,Renovated,4010,5,3,2,No,1971,3.5,1395000
103,Renton,Townhouse,New,3180,4,4,2,Yes,2000,6.5,736500
104,Redmond,Villa,Renovated,2010,3,3,1,Yes,1975,9.7,570000
105,Bellevue,Bungalow,Old,1330,3,3,1,Yes,1961,8.5,787000
106,Auburn,Townhouse,Old,2370,4,2,2,Yes,1998,6.5,328000
107,Seattle,Apartment,New,1840,5,4,1,Yes,1942,8.4,435000
108,Snoqualmie,Bungalow,Old,2910,4,4,2,No,2006,9.4,499000
109,Bellevue,Townhouse,Old,2070,4,4,1,Yes,1963,6.4,501000
110,Redmond,Apartment,New,4340,4,3,2,Yes,1992,5.5,1090000
111,Seattle,Villa,Old,840,2,4,1,No,1955,2.5,400000
112,Federal Way,Townhouse,Renovated,1240,4,4,1,Yes,1971,3.6,220000
113,Seattle,Villa,Renovated,1390,4,2,1,Yes,1924,4.9,657100
114,Maple Valley,Villa,Renovated,2310,4,3,2,No,2006,5.5,309950
115,Duvall,Townhouse,New,1050,3,4,1,No,1986,2.5,300000
116,Issaquah,Townhouse,Renovated,2550,5,2,1,No,1960,1,525888
117,Seattle,Apartment,Old,2010,4,2,1,Yes,1902,5,740000
118,Kirkland,Townhouse,Old,1120,5,3,2,Yes,1962,6,340000
119,Seattle,Townhouse,New,2230,3,2,2,Yes,1954,8,398750
120,Burien,Townhouse,Old,810,2,2,1,Yes,1944,7,206000
121,Bellevue,Apartment,Old,3190,5,5,1,Yes,1976,9.5,1030000
122,Sammamish,Bungalow,New,1670,3,3,1,Yes,1976,6.8,600000
123,Shoreline,Townhouse,Old,1970,4,4,1,Yes,1960,9.4,379950
124,Seattle,Villa,Renovated,1450,3,1,1,Yes,1953,5.3,287000
125,Redmond,Bungalow,Renovated,13540,7,1,3,Yes,1999,6.3,2280000
126,Renton,Townhouse,Renovated,1880,3,2,2,Yes,1994,4.5,309950
127,Seattle,Apartment,New,1880,3,3,1,Yes,1945,1,600000
128,Seattle,Bungalow,Renovated,1410,3,3,1,Yes,1930,1.5,418000
129,Seattle,Townhouse,Old,1480,4,4,1,Yes,1928,6,449250
130,Seattle,Apartment,Old,1140,2,3,2,Yes,1949,7,329950
131,Auburn,Villa,New,1920,3,5,1,Yes,1984,8,245000
132,Renton,Townhouse,Old,2910,4,3,2,Yes,2008,4,549000
133,Sammamish,Villa,Old,3240,3,3,2,No,1994,5.5,800000
134,Renton,Villa,New,1550,3,4,1,No,1958,6.4,249950
135,Des Moines,Townhouse,Old,2050,5,3,1,No,1956,8.4,210000
136,Seattle,Townhouse,Renovated,2220,2,3,2,Yes,2000,5,1425000
137,Seattle,Apartment,Renovated,1770,2,3,1,Yes,1949,6.1,585000
138,Redmond,Townhouse,Renovated,2300,4,3,1,No,1977,4.5,615000
139,Seattle,Townhouse,New,1800,3,4,1,Yes,1942,2.5,618500
140,Kirkland,Townhouse,Renovated,2010,4,1,1,No,1977,6.5,487585
141,Issaquah,Apartment,Old,1790,3,1,2,Yes,2010,3.5,509900
142,Seattle,Bungalow,Old,2440,4,2,2,Yes,2014,6.5,631625
143,Issaquah,Townhouse,New,1940,3,3,2,Yes,2009,9.7,555000
144,Seattle,Villa,Old,1160,2,3,2,Yes,2001,8.5,340000
145,Redmond,Bungalow,Old,3400,4,4,2,Yes,2007,6.5,830000
146,Issaquah,Townhouse,New,4420,4,3,2,No,2006,8.4,890000
147,Seattle,Apartment,Old,1571,3,5,3,No,2008,9.4,366750
148,Issaquah,Bungalow,Renovated,1620,3,3,1,Yes,2010,6.4,415000
149,Seattle,Townhouse,Renovated,1408,3,3,3,Yes,2005,5.5,416286
150,Renton,Apartment,Renovated,3040,3,4,2,Yes,2007,2.5,478000
151,Issaquah,Villa,New,4490,5,3,2,Yes,2006,3.6,890000
152,Issaquah,Townhouse,Renovated,1590,2,3,2,Yes,2014,4.9,419190
153,Redmond,Villa,Old,2450,4,3,2,No,2013,5.5,712198
154,Kirkland,Villa,Old,1440,4,3,1,Yes,1971,2.5,397000
155,Seattle,Townhouse,New,1100,2,4,2,Yes,1912,1,450000
156,Seattle,Townhouse,Old,1350,3,3,1,No,1947,5,353000
157,Redmond,Apartment,Old,2150,4,5,2,Yes,1985,6,609000
158,Covington,Townhouse,New,1490,3,3,1,Yes,1975,8,234000
159,Seattle,Townhouse,Old,2000,3,3,2,Yes,1916,7,561000
160,Seattle,Townhouse,Renovated,1030,2,4,1,Yes,1924,9.5,469000
161,Seattle,Apartment,Renovated,720,2,3,1,Yes,1942,6.8,329350
163,Seattle,Bungalow,Renovated,2020,5,3,1,Yes,1938,9.4,488000
164,Des Moines,Townhouse,New,1580,3,3,1,Yes,1962,5.3,279900
165,Issaquah,Villa,Renovated,2110,4,3,2,Yes,1987,6.8,606000
166,Seattle,Bungalow,Old,1300,4,4,1,Yes,1950,9.1,312000
167,Seattle,Townhouse,Old,1630,3,1,1,Yes,1940,5.8,650000
168,Seattle,Townhouse,New,3370,4,1,1,Yes,1970,3,1135000
169,Seattle,Townhouse,Old,1890,4,2,1,Yes,1980,6,325000
170,Inglewood-Finn Hill,Townhouse,Old,1520,4,3,1,Yes,1967,8,425000
171,Seattle,Townhouse,New,900,2,4,1,Yes,1952,5,219000
172,Shoreline,Apartment,Old,1050,3,3,1,Yes,1954,1,250000
173,Bellevue,Bungalow,Renovated,1260,3,5,1,Yes,1966,1,390000
174,Kenmore,Townhouse,Renovated,3470,6,3,2,Yes,1924,2,475000
175,Bellevue,Apartment,Renovated,2290,4,3,2,No,1988,3,736000
176,Des Moines,Villa,New,2810,4,4,1,No,1958,5,407000
177,Carnation,Townhouse,Renovated,1650,3,3,2,No,1998,6,272000
178,Burien,Villa,Old,1640,3,3,1,Yes,1963,5.6,362000
179,Kirkland,Villa,Old,1850,3,3,2,Yes,1991,5.5,535000
180,Kent,Townhouse,New,2000,4,3,2,No,2003,4.5,284000
181,Shoreline,Townhouse,Old,1410,3,4,1,Yes,1961,2.3,367500
182,Kenmore,Apartment,Old,1500,4,4,1,No,1955,5.3,379900
183,Renton,Townhouse,New,2460,3,4,2,Yes,1980,6.3,520000
184,Renton,Townhouse,Old,1010,3,4,1,Yes,1954,4.5,175000
185,Seattle,Townhouse,Renovated,1230,2,4,2,Yes,2004,1,460000
186,Renton,Apartment,Renovated,2331,4,3,2,Yes,2007,1.5,345000
187,Kirkland,Bungalow,Renovated,2240,5,2,1,Yes,1978,6,455000
188,Bellevue,Townhouse,New,2450,4,3,1,No,1967,7,610000
189,Kenmore,Villa,Renovated,3100,4,3,2,Yes,1996,8,563000
190,Seattle,Bungalow,Old,2060,4,3,1,Yes,1949,4,612500
191,Federal Way,Townhouse,Old,1850,3,3,1,No,1979,5.5,218000
192,Bellevue,Apartment,New,1840,4,4,1,Yes,1958,6.4,404000
193,Redmond,Bungalow,Old,3740,4,2,2,Yes,2000,8.4,860000
194,Federal Way,Townhouse,Old,1420,3,3,1,No,1962,5,136500
195,Seattle,Apartment,New,1510,3,2,1,No,1940,6.1,313950
196,Seattle,Villa,Old,2130,3,3,1,No,1954,4.5,575000
197,Seattle,Townhouse,Renovated,3490,4,3,2,Yes,1928,2.5,1225000
198,North Bend,Villa,Renovated,1630,3,3,1,Yes,1971,6.5,280000
199,Sammamish,Villa,Renovated,1790,3,3,2,Yes,1989,3.5,515000
200,Kenmore,Townhouse,New,2000,4,4,2,Yes,1996,6.5,513000
201,Bellevue,Townhouse,Renovated,2260,4,4,2,Yes,1977,9.7,599000
202,Sammamish,Apartment,Old,3030,4,3,2,Yes,1999,8.5,685000
203,Seattle,Townhouse,Old,1310,3,3,1,Yes,1950,6.5,365000
204,Sammamish,Townhouse,New,3880,4,3,2,Yes,1987,8.4,762300
205,Seattle,Townhouse,Old,3760,4,5,2,Yes,1950,9.4,1580000
206,Redmond,Apartment,Old,3040,5,4,2,Yes,1984,6.4,562000
207,Bellevue,Bungalow,New,2910,5,4,1,Yes,1964,5.5,530000
208,Sammamish,Townhouse,Old,2970,3,5,1,Yes,1995,2.5,525000
209,Seattle,Villa,Renovated,1660,2,3,1,Yes,1942,3.6,484000
210,Newcastle,Bungalow,Renovated,3200,4,2,2,Yes,1998,4.9,725126
211,Auburn,Townhouse,Renovated,2680,4,4,1,Yes,1965,5.5,360000
212,Newcastle,Apartment,New,1230,3,3,1,Yes,1962,2.5,387000
213,Woodinville,Bungalow,Renovated,2740,4,4,2,No,1995,1,483500
215,Shoreline,Townhouse,Old,3380,4,3,2,No,2000,5,655500
216,Seattle,Apartment,Old,1110,3,4,1,No,1956,6,345000
217,Seattle,Villa,New,1800,5,2,2,Yes,1926,8,533000
218,Seattle,Townhouse,Old,1900,3,3,1,Yes,1982,7,385000
219,Bellevue,Villa,Old,930,2,3,1,No,1951,9.5,675000
220,Auburn,Villa,New,1690,3,2,1,Yes,1976,6.8,197000
221,Seattle,Townhouse,Old,1420,3,3,1,No,1905,9.4,485000
222,Mercer Island,Townhouse,Renovated,4510,5,4,2,Yes,1969,5.3,1870000
223,Federal Way,Apartment,Renovated,1980,3,3,1,Yes,1974,6.3,295000
224,Seattle,Townhouse,Renovated,1170,2,4,1,Yes,1903,4.5,499000
225,Seattle,Townhouse,New,2200,3,3,2,Yes,2008,1,1050000
226,Federal Way,Townhouse,Renovated,800,3,3,1,Yes,1959,1.5,191000
227,Seattle,Apartment,Old,1480,3,2,3,No,2006,6,500000
228,Seattle,Bungalow,Old,2890,5,4,1,No,2006,7,390000
229,Seattle,Townhouse,New,2690,3,4,3,No,2014,8,979000
230,Renton,Villa,Old,3569,4,4,2,Yes,2013,4,580000
231,Seattle,Bungalow,Old,1270,3,3,3,Yes,2006,5.5,369950
232,Bellevue,Townhouse,New,4490,5,4,2,Yes,2013,6.4,1800000
233,Redmond,Apartment,Old,3040,4,4,2,Yes,2008,8.4,776000
234,Seattle,Bungalow,Renovated,1170,3,2,3,Yes,2014,5,519950
235,Burien,Townhouse,Renovated,2060,5,3,1,Yes,1962,6.1,255000
236,Seattle,Apartment,Renovated,990,3,4,1,Yes,1943,4.5,495000
237,Shoreline,Villa,New,2430,4,2,2,Yes,2003,2.5,510000
238,Redmond,Townhouse,Renovated,4460,4,2,2,Yes,2001,6.5,1150000
239,Black Diamond,Villa,Old,1250,3,3,1,Yes,1994,3.5,253000
240,Kirkland,Villa,Old,1540,3,2,1,Yes,1980,6.5,503000
241,Maple Valley,Townhouse,New,1600,3,2,2,Yes,1993,9.7,275000
242,Burien,Townhouse,Old,1110,3,5,1,Yes,1952,8.5,249000
243,Renton,Apartment,Old,1840,3,3,1,Yes,1974,6.5,310000
244,Seattle,Townhouse,New,2520,3,4,1,Yes,1946,8.4,750000
245,Ravensdale,Townhouse,Old,2680,3,1,2,Yes,1995,9.4,630000
246,Seattle,Townhouse,Renovated,3830,9,1,2,No,1938,6.4,599999
247,Kirkland,Apartment,Renovated,2410,4,2,1,No,1956,5.5,758000
248,Covington,Bungalow,Renovated,1720,4,3,1,No,1960,2.5,248500
249,Kent,Townhouse,New,2070,3,3,1,Yes,1973,3.6,310000
250,Redmond,Villa,Renovated,1760,3,4,2,Yes,1985,4.9,460000
251,Bellevue,Bungalow,Old,1680,3,3,1,No,1959,5.5,675000
252,Seattle,Townhouse,Old,1550,2,5,2,Yes,1900,2.5,526000
253,Carnation,Townhouse,New,4120,3,3,2,No,1994,1,560000
254,Bothell,Townhouse,Old,1830,4,3,2,Yes,1991,5,415000
255,Burien,Townhouse,Old,1400,3,4,1,Yes,1944,6,246000
256,Federal Way,Townhouse,New,1870,3,3,1,Yes,1957,8,314500
257,Seattle,Apartment,Old,6210,7,3,1,Yes,1910,7,3200000
258,Seattle,Bungalow,Renovated,1040,2,3,2,Yes,1904,9.5,420000
259,Carnation,Townhouse,Renovated,2720,3,3,2,No,1988,6.8,535000
260,Kirkland,Apartment,Renovated,1010,3,4,1,Yes,1981,9.4,350000
261,Bellevue,Villa,New,1580,3,1,1,Yes,1967,6.7,515000
262,Seattle,Townhouse,Renovated,2600,4,1,2,No,1949,2.3,749950
263,Renton,Villa,Old,1920,3,2,2,Yes,1988,5.3,230000
264,Seattle,Villa,Old,2350,3,3,2,Yes,1929,6.3,568000
265,Burien,Townhouse,New,1100,1,3,1,No,1947,4.5,250000
266,Kirkland,Townhouse,Old,2510,4,4,1,No,1961,1,581000
267,Kent,Apartment,Old,3240,3,3,2,No,1991,1.5,651000
268,Issaquah,Townhouse,New,2460,3,5,1,Yes,1977,6,600000
269,Seattle,Townhouse,Old,1010,2,3,2,Yes,1906,7,500000
270,Seattle,Townhouse,Renovated,820,2,3,1,Yes,1921,8,475000
271,Seattle,Apartment,Renovated,2420,5,4,1,Yes,1978,4,352000
272,Kirkland,Bungalow,Renovated,1770,3,3,2,Yes,1977,5.5,420000
273,Redmond,Townhouse,New,1350,2,3,1,Yes,2003,6.4,428000
274,Seattle,Villa,Renovated,1960,3,3,1,Yes,1920,8.4,599000
275,Shoreline,Bungalow,Old,3305,4,3,2,Yes,1922,5,492000
276,Renton,Townhouse,Old,2550,2,4,1,Yes,2011,6.1,630000
277,Woodinville,Apartment,New,4130,5,3,2,Yes,1985,4.5,900000
278,Clyde Hill,Bungalow,Old,2310,4,5,1,Yes,1950,2.5,1110000
279,Seattle,Townhouse,Old,1650,4,3,1,Yes,1955,6.5,575000
280,Seattle,Apartment,New,2650,4,3,1,Yes,1905,3.5,705000
281,Seattle,Villa,Old,1890,4,4,1,Yes,1963,6.5,940000
282,Federal Way,Townhouse,Renovated,2190,3,3,1,Yes,1967,9.7,313000
283,Issaquah,Villa,Renovated,2030,3,3,2,Yes,1988,8.5,618080
284,Renton,Villa,Renovated,2270,3,3,2,No,2002,6.5,640000
285,Seattle,Townhouse,New,1610,3,3,1,No,1917,8.4,485000
286,Seattle,Townhouse,Renovated,760,2,4,1,No,1913,9.4,300000
287,Redmond,Apartment,Old,1640,2,1,1,Yes,1978,6.4,379500
288,Renton,Townhouse,Old,1630,3,1,2,Yes,1985,5.5,339950
289,Seattle,Townhouse,New,3560,6,2,1,No,1914,2.5,1500000
290,Seattle,Townhouse,Old,2960,3,3,2,Yes,1937,3.6,1340000
291,Issaquah,Apartment,Old,1940,3,4,1,No,1987,4.9,500000
292,Kent,Bungalow,Old,1410,3,3,1,Yes,1985,5.5,239900
293,Renton,Townhouse,Renovated,1040,3,5,1,Yes,1968,2.5,314950
294,Seattle,Villa,Renovated,820,2,3,1,Yes,1944,1,361280
295,Algona,Bungalow,Renovated,910,2,3,1,Yes,1956,5,100000
296,Lake Forest Park,Townhouse,New,3700,7,4,2,Yes,1948,6,540000
297,Woodinville,Apartment,Renovated,2180,4,3,1,No,1968,8,480500
298,Auburn,Bungalow,Old,1600,3,3,2,Yes,2000,7,280000
299,Seattle,Townhouse,Old,1500,3,3,1,Yes,1947,9.5,440000
300,Seattle,Apartment,New,1340,3,3,1,No,1910,6.8,530000
301,Issaquah,Villa,Old,1860,3,4,1,Yes,1985,9.4,560000
302,Seattle,Townhouse,Old,2540,3,4,1,Yes,1905,5.3,775000
303,Kent,Villa,New,1040,2,4,1,Yes,1912,6.3,160000
304,Federal Way,Villa,Old,1380,3,4,1,Yes,1960,4.5,209950
305,Covington,Townhouse,Renovated,1640,3,4,1,Yes,1988,1,226500
306,Seattle,Townhouse,Renovated,3000,5,3,1,Yes,1958,1.5,380000
307,Kenmore,Apartment,Renovated,2140,4,2,1,Yes,1968,6,409500
308,Seattle,Townhouse,New,1760,3,3,1,Yes,1942,7,690000
309,Shoreline,Townhouse,Renovated,1660,3,3,1,Yes,1961,8,405000
310,Maple Valley,Townhouse,Old,1830,3,3,2,Yes,1990,4,375000
311,Seattle,Apartment,Old,2210,4,3,1,Yes,1954,5.5,794154
312,Burien,Bungalow,New,1490,4,4,1,Yes,1969,6.4,185000
313,Seattle,Townhouse,Old,1260,3,2,2,Yes,2005,8.4,245000
314,Kirkland,Villa,Old,4270,5,3,2,Yes,2007,5,1532500
315,Kirkland,Bungalow,New,3900,4,2,2,Yes,2006,6.1,1040000
316,Seattle,Townhouse,Old,1150,2,3,3,Yes,2008,4.5,425000
317,Auburn,Apartment,Renovated,2656,4,3,2,Yes,2014,2.5,495000
318,Seattle,Bungalow,Renovated,2410,5,3,1,No,2008,6.5,365000
319,Seattle,Townhouse,Renovated,1606,3,3,3,No,2009,3.5,417250
320,Seattle,Apartment,New,820,2,4,3,No,2006,6.5,339950
321,Seattle,Villa,Renovated,1540,2,4,1,Yes,1946,9.7,615000
322,Duvall,Townhouse,Old,2090,3,3,2,Yes,2012,8.5,403000
323,Mercer Island,Villa,Old,3160,5,3,1,No,1971,6.5,980000
324,Federal Way,Villa,New,1730,4,3,1,Yes,1977,8.4,258000
325,Seattle,Townhouse,Old,1670,3,5,1,No,1967,9.4,533000
326,Sammamish,Townhouse,Old,2550,4,4,2,Yes,2005,6.4,537500
327,Mercer Island,Apartment,New,3040,5,4,1,Yes,1968,5.5,830000
329,Seattle,Townhouse,Old,1250,3,5,1,Yes,1900,2.5,712000
330,Algona,Townhouse,Renovated,2020,4,3,2,Yes,2002,3.6,262000
331,Issaquah,Townhouse,Renovated,2660,4,2,2,Yes,2003,4.9,753888
